city,latitude,longitude
Gundur,10.7339,78.7184
Punadih,25.5484,85.2649
Hariladih,23.7333,86.4
Alawalpur,25.4958,85.2021
Madanikanhalli,13.0626,77.4642
Bagalur,13.133,77.666
Kadiganahalli,13.1687,77.6283
Khankpur Zabti,28.7103,77.2781
Mahuli,25.543,85.2268
Zeyadah Kot,22.4445,88.3345
Arshakunti,13.0785,77.4225
Mirchi,25.5554,85.2139
Sonudih,25.1155,87.0214
Bayandhalli,12.9779,77.5688
Sondekoppa,13,77.3667
Babura,25.0851,87.1092
Madavar,13.0525,77.4732
Kadabgeri,12.9965,77.4331
Nanmangalam,12.9381,80.1753
Taliganja,22.5041,88.3598
Tarchha,25.1116,87.0964
Belgharia,22.6581,88.3852
Kammanhalli,13.0155,77.6381
Ambapuram,16.599,80.8938
Sonnappanhalli,13.1557,77.6179
Kedihati,22.6508,88.4608
Doddajivanahalli,13.0086,77.6143
Simli Muraripur,25.5792,85.2401
Sonawan,25.5445,85.2387
Devanandapur,22.9326,88.3729
Tribeni,22.9867,88.3987
Huttanhalli,13.1651,77.6512
Nathupur,25.5163,85.2544
Bali,25.481,85.2227
Vajarhalli,13.1022,77.4111
Alija Kotla,17.2333,78.55
Saino,25.1134,87.0108
Shekhpura,25.5725,85.1428
Chachohalli,13.001,77.4717
Andheri,19.2104,73.0464
Narayanpur Kola,25.1293,87.0076
Gyan Chak,25.5496,85.2423
Kasgatpur,13.1101,77.5045
Kitanelli,13.0095,77.4191
Harchandi,25.1,87.0442
Santoshpur,22.465,88.2193
Bendravadi,12.3636,76.9137
Kodagihalli,12.9771,77.4651
Harna Buzurg,25.0981,87.0148
Mailanhalli,13.1863,77.6963
Sultanpur,25.5248,85.2507
Adakimaranhalli,13.0633,77.4417
Kalamboli,19.02577,73.10157
Swargate,18.5018,73.8636
Hinjewadi,18.5667,73.7833
Aundh,18.566,73.8167
Koregaon Park,18.5333,73.8833
Camp,18.5167,73.8667
Shivajinagar,18.5167,73.866
Kharadi ,18.5667,73.9167
Viman Nagar,18.5667,73.916
Wakad,18.6167,73.7833
Bandra,19.0667,72.8333
Colaba,18.9167,72.8167
Dadar,19.0167,72.8333
Goregaon,19.1667,72.8667
Juhu,19.1,72.8167
Kurla,19.0833,72.8833
Malad,19.1833,72.8667
Nariman Point,18.9167,72.8167
Lonavala ,18.7333,73.4167
Khandala,18.7667,73.3833
Alibaug,18.6333,72.8667
Mahabaleshwar,17.9167,73.7667
Panchgani,17.9333,73.7833
